Date,Temp (°C),Humidity (%),Season,Solar Energy (kWh),Precipitation (mm),Population,Total Usage (kWh),Urban Household (kWh),Urban Industrial (kWh),Urban Commercial (kWh),Urban Others (kWh),Rural Household (kWh),Rural Industrial (kWh),Rural Commercial (kWh),Rural Others (kWh),Period,Day,Month,Year,Season_Autumn,Season_Monsoon,Season_Post-Monsoon,Season_Summer,Season_Winter,Period_Lockdown,Period_Post-lockdown,Period_Pre-lockdown,Lag1_TotalEnergy,Lag2_TotalEnergy,Lag3_TotalEnergy
2018-01-04,27.0,51.4,3,26.8,0.0,3130000,4330.454634,612.4485274,816.5980365,408.2990183,204.1495091,770.4965576,308.1986231,308.1986231,154.0993115,2,1,4,2018,0,0,0,1,0,0,0,1,4229.108556,3402.09627,3313.849834
2018-01-05,28.9,54.4,3,26.4,0.0,3130000,4836.226729,760.2010336,1013.601378,506.800689,253.4003445,728.6153948,291.4461579,291.4461579,145.723079,2,1,5,2018,0,0,0,1,0,0,0,1,4330.454634,4229.108556,3402.09627
2018-01-06,28.0,73.1,1,22.1,25.0,3130000,3506.169902,742.1603671,989.5471561,494.773578,247.386789,800.4964101,320.198564,320.198564,160.099282,2,1,6,2018,0,1,0,0,0,0,0,1,4836.226728,4330.454634,4229.108556
2018-01-07,25.4,78.2,1,15.7,2.0,3130000,3526.455801,775.8694014,1034.492535,517.2462676,258.6231338,751.1752081,300.4700832,300.4700832,150.2350416,2,1,7,2018,0,1,0,0,0,0,0,1,3506.169902,4836.226728,4330.454634
2018-01-08,24.1,85.1,1,14.5,0.3,3130000,3579.422522,776.7426789,1035.656905,517.8284526,258.9142263,775.2815113,310.1126045,310.1126045,155.0563023,2,1,8,2018,0,1,0,0,0,0,0,1,3526.455801,3506.169902,4836.226728
2018-01-09,23.5,85.9,1,13.9,1.5,3130000,3369.808484,725.7772965,967.703062,483.851531,241.9257655,734.1934968,293.6773987,293.6773987,146.8386994,2,1,9,2018,0,1,0,0,0,0,0,1,3579.422522,3526.455801,3506.169902
2018-01-10,25.0,82.5,2,18.4,16.0,3130000,3935.669697,759.3695498,1012.492733,506.2463665,253.1231833,760.7944713,304.3177885,304.3177885,152.1588943,2,1,10,2018,0,0,1,0,0,0,0,1,3369.808485,3579.422522,3526.455801
2018-01-11,23.7,52.5,2,20.8,0.0,3130000,4059.943416,798.8711371,1065.161516,532.580758,266.290379,753.8015001,301.5206,301.5206,150.7603,2,1,11,2018,0,0,1,0,0,0,0,1,3935.669697,3369.808485,3579.422522
2018-01-12,19.6,62.0,4,16.5,0.0,3130000,3820.846391,783.8416536,1045.122205,522.5611024,261.2805512,760.1506959,304.0602784,304.0602784,152.0301392,2,1,12,2018,0,0,0,0,1,0,0,1,4059.943416,3935.669697,3369.808485
2018-02-01,19.4,64.0,4,18.7,0.0,3130000,3181.226378,653.6627434,871.5503246,435.7751623,217.8875811,677.7663486,271.1065394,271.1065394,135.5532697,2,2,1,2018,0,0,0,0,1,0,0,1,3820.846391,4059.943416,3935.669697
2018-02-02,20.9,50.0,4,21.4,0.0,3130000,3303.295752,693.3405838,924.4541117,462.2270559,231.1135279,674.832713,269.9330852,269.9330852,134.9665426,2,2,2,2018,0,0,0,0,1,0,0,1,3181.2263780000003,3820.846391,4059.943416
2018-02-03,26.1,47.2,3,22.9,0.0,3130000,4220.496137,650.3725995,867.163466,433.581733,216.7908665,666.0456675,266.418267,266.418267,133.2091335,2,2,3,2018,0,0,0,1,0,0,0,1,3303.295752,3181.2263780000003,3820.846391
2018-02-04,27.9,49.2,3,24.1,0.0,3130000,4459.746759,658.0374501,877.3832668,438.6916334,219.3458167,747.8463245,299.1385298,299.1385298,149.5692649,2,2,4,2018,0,0,0,1,0,0,0,1,4220.496137,3303.295752,3181.2263780000003
2018-02-05,28.8,51.4,3,27.9,0.0,3130000,4491.509123,674.4101106,899.2134808,449.6067404,224.8033702,729.2069687,291.6827875,291.6827875,145.8413937,2,2,5,2018,0,0,0,1,0,0,0,1,4459.746759,4220.496137,3303.295752
2018-02-06,26.9,78.6,1,17.6,11.0,3130000,3329.739396,711.4512905,948.6017206,474.3008603,237.1504302,748.9992362,299.5996945,299.5996945,149.7998472,2,2,6,2018,0,1,0,0,0,0,0,1,4491.509123,4459.746759,4220.496137
2018-02-07,24.2,85.5,1,10.6,0.4,3130000,3019.038227,657.2879156,876.3838875,438.1919438,219.0959719,654.5201406,261.8080562,261.8080562,130.9040281,2,2,7,2018,0,1,0,0,0,0,0,1,3329.739396,4491.509123,4459.746759
2018-02-08,24.0,87.1,1,14.2,3.0,3130000,3599.563742,801.408078,1068.544104,534.272052,267.136026,745.6530499,298.2612199,298.2612199,149.13061,2,2,8,2018,0,1,0,0,0,0,0,1,3019.038227,3329.739396,4491.509123
2018-02-09,22.9,89.6,1,13.7,3.0,3130000,3439.804684,680.0113049,906.6817399,453.34087,226.670435,850.6881413,340.2752565,340.2752565,170.1376283,2,2,9,2018,0,1,0,0,0,0,0,1,3599.5637420000003,3019.038227,3329.739396
